,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,total_cases,year,month,day,TMAX,TMIN,TAVG,TDTR,PRCP,precipitation_amount,Reanalysis_Year,Reanalysis_Month,Reanalysis_Day,Reanalysis_ air_temperature,Reanalysis_ dew_point_temperature,Reanalysis_relative_humidity,Reanalysis_ specific_humidity,Reanalysis_ minimum_air_temperature,Reanalysis_ maximum_air_temperature,Reanalysis_precipitation_amount,Reanalysis_TDTR,Reanalysis_TAVG,week_number, Week,ndvi_se, ndvi_sw,ndvi_ne,ndvi_nw
0,1,2000-07-01,0,0,0,0,0,0,2000,7,1,34.0,-9999.0,-9999.0,-9999.0,-9999.0,8.73,2000,7,1,296.74,295.77,94.92,17.3,294.6,301.5,6.3,6.899999999999977,298.05,26,26.0, 1.928857e-01, 2.472000e-01, 1.322571e-01, 3.408857e-01
1,2,2000-07-08,0,0,0,0,0,0,2000,7,8,32.0,21.2,26.6,10.8,0.0,1.02,2000,7,8,295.92,295.3,96.62,16.87,293,302.6,11.2,9.600000000000023,297.8,27,27.0, 2.168333e-01, 2.416571e-01, 2.761000e-01, 2.894571e-01
2,3,2000-07-15,0,0,0,0,0,0,2000,7,15,-9999.0,14.7,-9999.0,-9999.0,-9999.0,0,2000,7,15,295.39,290.6,75.68,12.45,291,301.2,0,10.199999999999989,296.1,28,28.0, 1.767571e-01, 1.280143e-01, 1.731286e-01, 2.041143e-01
3,4,2000-07-22,0,0,0,0,0,0,2000,7,22,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0,2000,7,22,296.3,293.77,88,15.3,292.8,302.9,1.7,10.099999999999966,297.85,29,29.0, 2.277286e-01, 2.003143e-01, 1.454286e-01, 2.542000e-01
4,5,2000-07-29,0,0,0,0,0,0,2000,7,29,31.0,21.5,26.2,9.5,-9999.0,7.72,2000,7,29,298.85,291.53,65.25,13.25,291.1,305.5,0,14.399999999999977,298.3,30,30.0, 3.286429e-01, 3.610429e-01, 3.221286e-01, 2.543714e-01
5,6,2000-08-05,0,0,0,0,0,0,2000,8,5,32.0,20.0,26.0,12.0,13.0,4.91,2000,8,5,295.24,293.67,91.45,15.12,293.5,299.4,0.7,5.899999999999977,296.45,31,31.0, 2.055286e-01, 2.553143e-01, 1.907571e-01, 2.316714e-01
6,7,2000-08-12,0,0,0,0,0,0,2000,8,12,32.0,21.8,26.9,10.2,0.0,1.01,2000,8,12,297.73,293.3,78.35,14.74,292.9,305,0.8,12.100000000000023,298.95,32,32.0, 3.124857e-01, 3.872714e-01, 3.299857e-01, 3.805857e-01
7,8,2000-08-19,0,0,0,0,0,0,2000,8,19,-9999.0,21.0,-9999.0,-9999.0,53.1,10.91,2000,8,19,297.18,294.67,86.5,16.07,293.1,305.8,1.8,12.699999999999989,299.45000000000005,33,33.0, 3.841333e-01, 3.827500e-01, 3.922400e-01, 3.417800e-01
8,9,2000-08-26,0,0,0,0,0,0,2000,8,26,32.5,20.5,26.5,12.0,15.0,6.79,2000,8,26,300.89,292.85,66.62,14.51,295.2,309.3,1.2,14.100000000000023,302.25,34,34.0, 4.081571e-01, 3.027143e-01, 3.221571e-01, 4.067143e-01
9,10,2000-09-02,0,0,0,0,0,0,2000,9,2,-9999.0,22.0,-9999.0,-9999.0,-9999.0,0,2000,9,2,301.85,289.6,50.12,11.78,294.8,312.3,0,17.5,303.55,35,35.0, 3.320429e-01, 3.242571e-01, 3.210571e-01, 3.146143e-01
10,11,2000-09-09,0,0,0,0,1,1,2000,9,9,34.5,21.7,28.1,12.8,-9999.0,19.39,2000,9,9,299.52,293.58,69.82,15.15,295,306.5,1,11.5,300.75,36,36.0, 2.955857e-01, 2.659286e-01, 2.956833e-01, 3.122143e-01
11,12,2000-09-16,0,0,0,0,0,0,2000,9,16,33.2,21.4,27.3,11.8,22.1,21.25,2000,9,16,295.69,293.21,86.9,14.71,292.6,299,1.2,6.399999999999977,295.8,37,37.0, 2.846571e-01, 3.281571e-01, 3.097571e-01, 3.878833e-01
12,13,2000-09-23,0,0,0,0,0,0,2000,9,23,33.8,20.5,27.1,13.3,40.9,50.33,2000,9,23,298.77,294.7,81.18,16.18,294.6,307.5,0.7,12.899999999999977,301.05,38,38.0, 3.488143e-01, 2.425714e-01, 2.957167e-01, 4.048429e-01
13,14,2000-09-30,0,0,0,0,0,0,2000,9,30,32.0,20.5,26.2,11.5,20.1,13.35,2000,9,30,297.3,295.05,87.57,16.5,295.4,299.9,1.2,4.5,297.65,39,39.0, 1.756857e-01, 1.827857e-01, 9.948333e-02, 2.257143e-01
14,15,2000-10-07,0,0,0,0,0,0,2000,10,7,33.0,22.4,27.7,10.6,1.0,0.37,2000,10,7,297.33,295.67,91.48,17.17,294.3,302.9,5.8,8.599999999999966,298.6,40,40.0, 3.375400e-01, 2.550500e-01, 2.769429e-01, 2.775000e-01
15,16,2000-10-14,0,0,0,0,1,1,2000,10,14,36.0,21.2,28.6,14.8,35.1,20.72,2000,10,14,298.98,293.28,71.55,14.82,294.6,304.1,0.7,9.5,299.35,41,41.0, 2.235333e-01, 1.009167e-01, 1.339143e-01, 3.498000e-01
16,17,2000-10-21,0,0,0,0,1,1,2000,10,21,-9999.0,-9999.0,-9999.0,-9999.0,0.0,2.72,2000,10,21,298.89,294.84,79.53,16.32,293.5,305.9,1.4,12.399999999999977,299.7,42,42.0, 2.748000e-01, 2.794714e-01, 1.870571e-01, 3.739429e-01
17,18,2000-10-28,0,0,0,0,0,0,2000,10,28,-9999.0,21.9,-9999.0,-9999.0,0.0,0,2000,10,28,299.12,293.86,73.83,15.36,292.4,304.2,0.2,11.800000000000011,298.29999999999995,43,43.0, 3.673000e-01, 3.258000e-01, 3.055500e-01, 4.553800e-01
18,19,2000-11-04,0,0,0,0,0,0,2000,11,4,-9999.0,22.8,-9999.0,-9999.0,0.0,3.99,2000,11,4,301.22,295.34,74.75,16.96,294.3,309.8,0,15.5,302.05,44,44.0, 2.951000e-01, 2.796167e-01, 2.115200e-01, 3.044000e-01
19,20,2000-11-11,0,0,0,0,0,0,2000,11,11,36.4,22.4,29.4,14.0,-9999.0,2.05,2000,11,11,302.94,295.34,67.78,17.05,296.9,311.8,0.6,14.900000000000034,304.35,45,45.0, 2.713667e-01, 2.318667e-01, 1.515667e-01, 3.472500e-01
