,iquitos, 4S, 73W, air_temperature, dew_point_temperature,relative_humidity, specific_humidity,Unnamed: 7
0,Year, Month, Day, K, K,%, g kg-1,
1,1979,1,1,297.56,295.89,91.35,17.45, 
2,1979,1,2,297.78,296.96,95.52,18.65, 
3,1979,1,3,297.3,296.93,97.82,18.55, 
4,1979,1,4,297.36,295.78,91.98,17.31, 
5,1979,1,5,297.18,294.7,86.5,16.41, 
6,1979,1,6,297.2,296.05,93.67,17.73, 
7,1979,1,7,298.61,293.35,77.58,14.98, 
8,1979,1,8,298.99,291.23,65.07,13.05, 
9,1979,1,9,299.67,290.6,60.38,12.59, 
10,1979,1,10,299.3,292.33,66.97,14, 
11,1979,1,11,298.67,293.58,75.27,15.14, 
12,1979,1,12,297.95,292.76,75.22,14.38, 
13,1979,1,13,298.16,293.32,76.83,14.88, 
14,1979,1,14,296.03,293.71,87.12,15.25, 
15,1979,1,15,296.72,295.74,94.47,17.37, 
16,1979,1,16,297.07,295.16,90.47,16.73, 
17,1979,1,17,297.04,294.05,86.3,15.61, 
18,1979,1,18,299.73,292.65,69.3,14.32, 
19,1979,1,19,299.53,292.77,68.33,14.41, 
20,1979,1,20,299.7,294.7,75.12,16.19, 
21,1979,1,21,297.37,295.27,88.45,16.8, 
22,1979,1,22,298.25,294.46,82.68,15.98, 
23,1979,1,23,299.05,297.2,89.85,19.05, 
24,1979,1,24,298.38,296.55,90.38,18.19, 
25,1979,1,25,299.15,295.1,80.88,16.62, 
26,1979,1,26,298.46,296.75,90.68,18.41, 
27,1979,1,27,298.08,296.9,93.55,18.72, 
28,1979,1,28,298.22,297.08,93.93,18.79, 
29,1979,1,29,297.39,296.9,97.3,18.54, 
30,1979,1,30,297.11,294.9,89.05,16.36, 
31,1979,1,31,299.01,295.3,84.2,16.81, 
32,1979,2,1,297.98,297.03,94.93,18.8, 
33,1979,2,2,299.18,296.08,86.7,17.68, 
34,1979,2,3,298.11,297.1,94.7,18.83, 
35,1979,2,4,299.6,295.73,84.58,17.4, 
36,1979,2,5,298.97,292.85,69.88,14.45, 
37,1979,2,6,299.18,293.08,71.12,14.7, 
38,1979,2,7,300.26,293.22,67.47,14.79, 
39,1979,2,8,299.15,293.9,74.32,15.4, 
