,san_juan, 18.5N, 66W, air_temperature, dew_point_temperature,relative_humidity, specific_humidity,Unnamed: 7
0,Year, Month, Day, K, K,%, g kg-1,
1,1979,1,1,296.65,292.7,78.75,14.17, 
2,1979,1,2,296.55,291.38,72.93,13.03, 
3,1979,1,3,296.34,290.67,70.35,12.41, 
4,1979,1,4,296.14,291.08,73.47,12.81, 
5,1979,1,5,296.32,292.17,77.5,13.69, 
6,1979,1,6,296.68,293.73,83.65,15.14, 
7,1979,1,7,296.55,293.6,83.73,15.04, 
8,1979,1,8,297.17,293.35,79.35,14.78, 
9,1979,1,9,296.87,291.17,70.43,12.89, 
10,1979,1,10,296.51,291.6,73.88,13.23, 
11,1979,1,11,296.66,293.07,80.2,14.51, 
12,1979,1,12,297.29,293.62,79.85,15, 
13,1979,1,13,297.78,293.35,76.53,14.78, 
14,1979,1,14,297.93,293.77,77.7,15.14, 
15,1979,1,15,298.2,293.63,75.85,14.99, 
16,1979,1,16,297.57,293.21,76.67,14.57, 
17,1979,1,17,297.33,292.61,75.02,14.06, 
18,1979,1,18,297.45,291.94,71.55,13.52, 
19,1979,1,19,297.19,292.25,73.93,13.8, 
20,1979,1,20,297.52,292.18,71.95,13.69, 
21,1979,1,21,298.03,292.35,70.68,13.87, 
22,1979,1,22,297.96,293.13,74.57,14.58, 
23,1979,1,23,297.72,292.91,74.8,14.39, 
24,1979,1,24,297.74,291.98,70.35,13.58, 
25,1979,1,25,298.38,292.97,72.07,14.44, 
26,1979,1,26,297.92,293.82,78.12,15.23, 
27,1979,1,27,298.15,294.05,78.12,15.46, 
28,1979,1,28,297.76,293.55,77.83,15.02, 
29,1979,1,29,298.16,293.42,75.3,14.9, 
30,1979,1,30,297.52,293.78,79.62,15.17, 
31,1979,1,31,297.51,291.25,68.38,12.99, 
32,1979,2,1,297.29,292.35,74.4,13.92, 
33,1979,2,2,297.17,293.8,81.27,15.15, 
34,1979,2,3,296.56,291.68,74.3,13.27, 
35,1979,2,4,296.31,290.22,68.7,12.1, 
36,1979,2,5,296.38,290.45,69.35,12.28, 
37,1979,2,6,296.79,291.62,72.93,13.27, 
38,1979,2,7,297.73,292.83,74.32,14.28, 
39,1979,2,8,298.11,292.83,72.4,14.23, 
40,1979,2,9,298.02,292,69.47,13.56, 
41,1979,2,10,298,292.67,72.35,14.13, 
42,1979,2,11,297.87,292.6,72.47,14.05, 
43,1979,2,12,297.86,292.4,71.93,13.94, 
44,1979,2,13,297.73,293.38,76.9,14.79, 
45,1979,2,14,297.52,293.83,80.15,15.26, 
46,1979,2,15,296.74,293.5,81.85,14.84, 
47,1979,2,16,297.2,292.62,75.75,14.11, 
48,1979,2,17,297.75,293.65,77.95,15.03, 
49,1979,2,18,297.31,294.02,82.05,15.39, 
50,1979,2,19,297.21,294.1,82.88,15.42, 
51,1979,2,20,297.85,293.99,79.22,15.34, 
52,1979,2,21,297.38,294.1,81.78,15.38, 
53,1979,2,22,296.95,294,83.55,15.31, 
54,1979,2,23,297.18,292.8,76.35,14.19, 
55,1979,2,24,297.07,291.55,71.18,13.16, 
56,1979,2,25,297.05,290.98,68.82,12.7, 
57,1979,2,26,296.47,292.02,76.32,13.57, 
58,1979,2,27,297.08,291.42,70.82,13.1, 
59,1979,2,28,296.66,290.85,69.97,12.68, 
60,1979,3,1,296.12,292.4,79.5,13.89, 
61,1979,3,2,296.73,291.15,71.2,12.85, 
62,1979,3,3,296.91,291.33,71.05,13.01, 
63,1979,3,4,296.66,291.65,73.45,13.24, 
64,1979,3,5,296.43,290.75,70.33,12.53, 
65,1979,3,6,295.84,287.98,61.07,10.52, 
66,1979,3,7,295.71,286.15,54.9,9.32, 
67,1979,3,8,296.94,289.38,62.57,11.5, 
68,1979,3,9,297.24,290.82,67.4,12.59, 
69,1979,3,10,297.59,292.17,71.8,13.69, 
70,1979,3,11,297.77,293.82,78.68,15.21, 
71,1979,3,12,298.38,293.9,76.22,15.25, 
72,1979,3,13,297.86,293.1,74.95,14.54, 
73,1979,3,14,297.73,293.27,76.35,14.68, 
74,1979,3,15,297.98,292.9,73.47,14.37, 
75,1979,3,16,297.87,293.58,76.88,14.93, 
76,1979,3,17,297.54,293.1,76.38,14.55, 
77,1979,3,18,295.89,292.75,82.68,14.28, 
78,1979,3,19,295.72,290.98,74.68,12.74, 
79,1979,3,20,295.5,288.33,63.85,10.75, 
80,1979,3,21,295.68,288.48,63.92,10.88, 
81,1979,3,22,295,289.77,72.03,11.77, 
82,1979,3,23,296,290.9,73.17,12.69, 
