,season,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,additional_cases,total_cases
0,1990/1991,1,1990-04-30,0,0,0,0,4,0,4
1,1990/1991,2,1990-05-07,0,0,0,0,5,0,5
2,1990/1991,3,1990-05-14,0,0,0,0,4,0,4
3,1990/1991,4,1990-05-21,0,0,0,0,3,0,3
4,1990/1991,5,1990-05-28,0,0,0,0,6,0,6
5,1990/1991,6,1990-06-04,1,0,0,0,1,0,2
6,1990/1991,7,1990-06-11,0,0,0,0,4,0,4
7,1990/1991,8,1990-06-18,0,0,0,0,5,0,5
8,1990/1991,9,1990-06-25,2,0,0,0,8,0,10
9,1990/1991,10,1990-07-02,0,0,0,1,5,0,6
10,1990/1991,11,1990-07-09,0,0,0,0,8,0,8
11,1990/1991,12,1990-07-16,0,0,0,0,2,0,2
12,1990/1991,13,1990-07-23,0,2,0,0,4,0,6
13,1990/1991,14,1990-07-30,0,1,0,1,15,0,17
14,1990/1991,15,1990-08-06,1,1,0,0,21,0,23
15,1990/1991,16,1990-08-13,0,1,0,1,11,0,13
16,1990/1991,17,1990-08-20,0,0,0,1,20,0,21
17,1990/1991,18,1990-08-27,0,3,0,0,25,0,28
18,1990/1991,19,1990-09-03,1,2,0,3,18,0,24
19,1990/1991,20,1990-09-10,0,1,0,0,19,0,20
20,1990/1991,21,1990-09-17,0,4,0,0,36,0,40
21,1990/1991,22,1990-09-24,0,1,0,1,25,0,27
22,1990/1991,23,1990-10-01,0,3,0,4,35,0,42
23,1990/1991,24,1990-10-08,0,2,0,0,31,0,33
24,1990/1991,25,1990-10-15,0,3,0,0,40,0,43
25,1990/1991,26,1990-10-22,1,2,0,1,33,0,37
26,1990/1991,27,1990-10-29,0,4,0,1,52,0,57
27,1990/1991,28,1990-11-05,0,1,0,3,67,0,71
28,1990/1991,29,1990-11-12,0,0,0,1,43,0,44
29,1990/1991,30,1990-11-19,0,0,0,0,56,0,56
30,1990/1991,31,1990-11-26,0,0,0,3,49,1,53
31,1990/1991,32,1990-12-03,2,2,0,1,47,0,52
32,1990/1991,33,1990-12-10,1,3,0,5,38,0,47
33,1990/1991,34,1990-12-17,0,3,0,1,22,0,26
34,1990/1991,35,1990-12-24,0,2,0,0,25,0,27
35,1990/1991,36,1991-01-01,0,2,0,1,18,0,21
36,1990/1991,37,1991-01-08,0,1,0,3,17,0,21
37,1990/1991,38,1991-01-15,0,0,0,1,25,0,26
38,1990/1991,39,1991-01-22,0,0,0,0,34,0,34
39,1990/1991,40,1991-01-29,0,3,0,0,34,0,37
40,1990/1991,41,1991-02-05,0,0,0,2,15,0,17
