,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,additional_cases,total_cases,year,month,day,TMAX,TMIN,TAVG,TDTR,PRCP,precipitation_amount,Reanalysis_Year,Reanalysis_Month,Reanalysis_Day,Reanalysis_ air_temperature,Reanalysis_ dew_point_temperature,Reanalysis_relative_humidity,Reanalysis_ specific_humidity,Reanalysis_ minimum_air_temperature,Reanalysis_ maximum_air_temperature,Reanalysis_precipitation_amount,Reanalysis_TDTR,Reanalysis_TAVG,week_number, Week,ndvi_se, ndvi_sw,ndvi_ne,ndvi_nw
0,1,1990-04-30,0,0,0,0,4,0,4,1990,4,30,29.4,22.2,25.8,7.2,0.0,0,1990,4,30,298.01,291.67,67.95,13.32,297,299.7,0.1,2.6999999999999886,298.35,18,18.0, 1.984833e-01, 1.226000e-01, 1.776167e-01, 1.037250e-01
1,2,1990-05-07,0,0,0,0,5,0,5,1990,5,7,31.7,23.9,27.8,7.8,0.0,11.74,1990,5,7,299.02,295.65,81.75,17.08,298.3,300.9,1.4,2.599999999999966,299.6,19,19.0, 1.623571e-01, 1.699000e-01, 1.554857e-01, 1.421750e-01
2,3,1990-05-14,0,0,0,0,4,0,4,1990,5,14,29.4,22.8,26.1,6.6,4.1,0,1990,5,14,298.44,294.38,78.47,15.76,297.3,300.3,4.6,3,298.8,20,20.0, 1.572000e-01, 3.225000e-02, 1.708429e-01, 1.729667e-01
3,4,1990-05-21,0,0,0,0,3,0,3,1990,5,21,33.3,24.4,28.8,8.9,0.0,0,1990,5,21,299.73,296.18,81.15,17.56,298.5,301.4,0,2.8999999999999773,299.95,21,21.0, 2.275571e-01, 1.286333e-01, 2.358857e-01, 2.450667e-01
4,5,1990-05-28,0,0,0,0,6,0,6,1990,5,28,33.9,25.0,29.5,8.9,0.0,7.52,1990,5,28,299.51,296.9,85.65,18.39,298.6,301,4.9,2.3999999999999773,299.8,22,22.0, 2.512000e-01, 1.962000e-01, 2.473400e-01, 2.622000e-01
5,6,1990-06-04,1,0,0,0,1,0,2,1990,6,4,30.6,23.9,27.2,6.7,18.0,0,1990,6,4,298.91,295.6,82.02,16.97,298.2,299.9,6.2,1.6999999999999886,299.04999999999995,23,23.0, 2.543143e-01, NaN, 1.817429e-01, 1.748500e-01
6,7,1990-06-11,0,0,0,0,4,0,4,1990,6,11,31.1,23.3,27.2,7.8,1.8,0,1990,6,11,299.86,295.05,75.05,16.39,298.6,301.3,0.1,2.6999999999999886,299.95000000000005,24,24.0, 2.050714e-01, 1.129000e-01, 2.102714e-01, 9.280000e-02
7,8,1990-06-18,0,0,0,0,5,0,5,1990,6,18,31.7,25.0,28.4,6.7,0.0,12.17,1990,6,18,299.45,296.5,83.98,17.95,298.6,300.3,5.3,1.6999999999999886,299.45000000000005,25,25.0, 1.514714e-01, 7.250000e-02, 1.330286e-01, 7.250000e-02
8,9,1990-06-25,2,0,0,0,8,0,10,1990,6,25,32.2,22.8,27.5,9.4,5.6,4.99,1990,6,25,299.31,296,82.18,17.37,298.2,300.6,3.9,2.400000000000034,299.4,26,26.0, 1.255714e-01, 1.024500e-01, 1.236000e-01, 1.461750e-01
9,10,1990-07-02,0,0,0,1,5,0,6,1990,7,2,33.9,25.0,29.5,8.9,0.0,0,1990,7,2,300.8,296.9,79.47,18.33,299.9,302.3,0,2.400000000000034,301.1,27,27.0, 1.606833e-01, NaN, 2.025667e-01, 1.215500e-01
10,11,1990-07-09,0,0,0,0,8,0,8,1990,7,9,31.1,23.9,27.5,7.2,0.8,0,1990,7,9,299.87,295.45,76.78,16.8,298.7,301,2.82,2.3000000000000114,299.85,28,28.0, 1.919429e-01, 1.928750e-01, 1.529286e-01, 8.235000e-02
11,12,1990-07-16,0,0,0,0,2,0,2,1990,7,16,31.1,25.6,28.4,5.5,0.0,2.61,1990,7,16,300.73,296.52,78.03,17.94,300,302,0,2,301,29,29.0, 3.012000e-01, 2.916000e-01, 2.806667e-01, 2.118000e-01
12,13,1990-07-23,0,2,0,0,4,0,6,1990,7,23,31.7,25.0,28.4,6.7,0.0,3.2,1990,7,23,299.56,295.45,78.25,16.84,298.7,300,9.9,1.3000000000000114,299.35,30,30.0, 2.269000e-01, 1.505667e-01, 2.145571e-01, 1.717000e-01
13,14,1990-07-30,0,1,0,1,15,0,17,1990,7,30,34.4,25.0,29.7,9.4,0.0,0,1990,7,30,300.81,296.12,76.22,17.52,299,303,0,4,301,31,31.0, 3.797000e-01, NaN, 3.813571e-01, 2.471500e-01
14,15,1990-08-06,1,1,0,0,21,0,23,1990,8,6,33.3,23.9,28.6,9.4,0.0,0,1990,8,6,300.6,296.25,77.38,17.68,299.5,302.1,1.2,2.6000000000000227,300.8,32,32.0, 1.644429e-01, NaN, 1.388571e-01, 6.433333e-02
15,16,1990-08-13,0,1,0,1,11,0,13,1990,8,13,30.6,22.8,26.7,7.8,17.5,34.59,1990,8,13,299.55,297.38,87.85,18.85,298.7,300.1,18.5,1.400000000000034,299.4,33,33.0, 2.069571e-01, NaN, 1.682429e-01, 1.280333e-01
16,17,1990-08-20,0,0,0,1,20,0,21,1990,8,20,31.7,26.1,28.9,5.6,0.0,0,1990,8,20,300.16,297.85,87.3,19.44,299.6,300.8,5.8,1.1999999999999886,300.20000000000005,34,34.0, 1.676571e-01, 1.902333e-01, 1.722857e-01, 1.688000e-01
17,18,1990-08-27,0,3,0,0,25,0,28,1990,8,27,32.2,26.1,29.2,6.1,0.0,0,1990,8,27,300.86,296.35,76.55,17.8,299.9,302.2,0,2.3000000000000114,301.04999999999995,35,35.0, 2.641714e-01, 2.529000e-01, 2.843143e-01, 3.307500e-01
18,19,1990-09-03,1,2,0,3,18,0,24,1990,9,3,32.2,25.0,28.6,7.2,2.5,10.21,1990,9,3,299.49,296.75,85.1,18.28,298.6,300.4,10.4,1.7999999999999545,299.5,36,36.0, 2.838167e-01, 2.354000e-01, 2.304429e-01, 2.000250e-01
19,20,1990-09-10,0,1,0,0,19,0,20,1990,9,10,32.8,25.0,28.9,7.8,0.0,0,1990,9,10,300.56,295.95,76.18,17.4,299.2,302.2,0.2,3,300.7,37,37.0, 1.234000e-01, 1.279667e-01, 1.482833e-01, 4.371000e-01
20,21,1990-09-17,0,4,0,0,36,0,40,1990,9,17,32.8,23.9,28.3,8.9,0.0,0,1990,9,17,300.52,296.12,76.9,17.49,299.7,301.7,1.4,2,300.7,38,38.0, 2.548286e-01, 1.963500e-01, 3.056857e-01, 1.824333e-01
21,22,1990-09-24,0,1,0,1,25,0,27,1990,9,24,32.2,24.4,28.3,7.8,0.0,3.3,1990,9,24,300.55,296.25,77.55,17.72,299.5,302.4,1.1,2.8999999999999773,300.95,39,39.0, 1.994429e-01, 1.161000e-01, 2.442167e-01, 2.609000e-01
22,23,1990-10-01,0,3,0,4,35,0,42,1990,10,1,32.8,24.4,28.6,8.4,2.5,1.55,1990,10,1,301.37,297.05,77.65,18.58,299.9,303.3,3,3.400000000000034,301.6,40,40.0, 2.124857e-01, 2.285500e-01, 2.011857e-01, 1.897500e-01
23,24,1990-10-08,0,2,0,0,31,0,33,1990,10,8,32.8,25.6,29.2,7.2,0.0,21.52,1990,10,8,299.94,296.95,83.78,18.58,298.6,301.7,8.2,3.099999999999966,300.15,41,41.0, 1.794667e-01, 1.711500e-01, 1.577167e-01, 6.755000e-02
24,25,1990-10-15,0,3,0,0,40,0,43,1990,10,15,31.1,23.9,27.5,7.2,0.0,12.09,1990,10,15,298.85,295.85,83.85,17.29,297.5,300.4,37.1,2.8999999999999773,298.95,42,42.0, 1.816167e-01, NaN, 1.657500e-01, 7.020000e-02
25,26,1990-10-22,1,2,0,1,33,0,37,1990,10,22,30.6,24.4,27.5,6.2,0.0,6.03,1990,10,22,299.66,295.9,79.82,17.35,298.6,300.3,1.3,1.6999999999999886,299.45000000000005,43,43.0, 1.288286e-01, 1.462000e-01, 1.239286e-01, 8.975000e-02
26,27,1990-10-29,0,4,0,1,52,0,57,1990,10,29,33.3,23.9,28.6,9.4,0.0,5.91,1990,10,29,299.77,296.6,82.93,18.1,299,301,1.5,2,300,44,44.0, 3.180000e-01, 2.522500e-01, 2.959000e-01, 1.834333e-01
27,28,1990-11-05,0,1,0,3,67,0,71,1990,11,5,31.7,25.0,28.4,6.7,0.0,18.28,1990,11,5,299.66,296.65,83.62,18.16,298.6,301.2,4.8,2.599999999999966,299.9,45,45.0, 1.783286e-01, 1.526000e-01, 1.866286e-01, 1.817750e-01
28,29,1990-11-12,0,0,0,1,43,0,44,1990,11,12,31.7,23.3,27.5,8.4,2.8,1.02,1990,11,12,300.32,295.24,73.7,16.59,299.5,301.3,1.3,1.8000000000000114,300.4,46,46.0, 1.803857e-01, 2.908000e-01, 2.348857e-01, 2.246000e-01
29,30,1990-11-19,0,0,0,0,56,0,56,1990,11,19,30.6,23.3,27.0,7.3,0.0,17.95,1990,11,19,299.74,295.63,78.18,17.02,298.4,301.1,2.1,2.7000000000000455,299.75,47,47.0, 1.316333e-01, 2.722000e-01, 1.253833e-01, 3.303500e-01
30,31,1990-11-26,0,0,0,3,49,1,53,1990,11,26,29.4,23.9,26.6,5.5,4.6,2.27,1990,11,26,298.21,295.28,83.97,16.65,297.7,299.3,17.1,1.6000000000000227,298.5,48,48.0, 1.767857e-01, 1.367667e-01, 1.415857e-01, 2.165250e-01
31,32,1990-12-03,2,2,0,1,47,0,52,1990,12,3,27.8,22.8,25.3,5.0,8.9,0,1990,12,3,297.84,293.92,79.03,15.31,296.7,299.7,6.1,3,298.2,49,49.0, 2.667833e-01, 1.098000e-01, 2.517000e-01, 8.860000e-02
32,33,1990-12-10,1,3,0,5,38,0,47,1990,12,10,28.9,20.6,24.8,8.3,0.0,0,1990,12,10,298.34,293.41,74.27,14.84,296.1,300.6,0.5,4.5,298.35,50,50.0, 1.913857e-01, 1.213500e-01, 2.099857e-01, 2.616600e-01
33,34,1990-12-17,0,3,0,1,22,0,26,1990,12,17,28.3,22.2,25.2,6.1,0.0,0,1990,12,17,298.31,292.05,68.38,13.64,297.3,299.7,0,2.3999999999999773,298.5,51,51.0, 2.608571e-01, 2.931333e-01, 3.027286e-01, 2.668667e-01
34,35,1990-12-24,0,2,0,0,25,0,27,1990,12,24,27.2,21.1,24.2,6.1,8.4,0,1990,12,24,297.2,291.71,71.43,13.35,295.3,298.3,2,3,296.8,52,52.0, 1.712667e-01, 3.025000e-01, 1.616222e-01, 2.772333e-01
35,36,1991-01-01,0,2,0,1,18,0,21,1991,1,1,27.2,22.8,25.0,4.4,4.8,15.85,1991,1,1,296.78,293.48,81.7,14.84,296.4,297.5,10,1.1000000000000227,296.95,1,1.0, 1.515000e-01, 1.465000e-01, 1.673143e-01, 1.404667e-01
36,37,1991-01-08,0,1,0,3,17,0,21,1991,1,8,29.4,21.7,25.5,7.7,5.8,0,1991,1,8,296.85,294,84.25,15.36,296.1,298.4,11.6,2.2999999999999545,297.25,2,2.0, 2.519000e-01, NaN, 1.376167e-01, 1.004667e-01
37,38,1991-01-15,0,0,0,1,25,0,26,1991,1,15,28.3,22.2,25.2,6.1,0.5,0,1991,1,15,298.16,292.88,72.38,14.29,297.7,299.1,0,1.400000000000034,298.4,3,3.0, 2.599429e-01, NaN, 2.179000e-01, 2.935667e-01
38,39,1991-01-22,0,0,0,0,34,0,34,1991,1,22,28.3,18.9,23.6,9.4,0.0,0,1991,1,22,297,292.4,75.53,13.92,295,299.4,0.7,4.399999999999977,297.2,4,4.0, 2.210286e-01, 3.313000e-01, 2.027571e-01, 3.093333e-01
39,40,1991-01-29,0,3,0,0,34,0,37,1991,1,29,29.4,21.7,25.5,7.7,0.0,0,1991,1,29,298.53,293.65,74.5,14.98,297.7,299.7,0.39,2,298.7,5,5.0, 2.438571e-01, 9.170000e-02, 1.956000e-01, 2.464250e-01
40,41,1991-02-05,0,0,0,2,15,0,17,1991,2,5,28.9,21.1,25.0,7.8,1.8,7,1991,2,5,297.03,293.24,79.42,14.65,295.9,298.5,4.5,2.6000000000000227,297.2,6,6.0, 2.550429e-01, 3.801000e-01, 2.258000e-01, 2.285667e-01
41,42,1991-02-12,1,1,0,0,17,0,19,1991,2,12,29.4,21.7,25.5,7.7,0.8,0,1991,2,12,296.4,293.73,85,15.12,296,297,9.1,1,296.5,7,7.0, 2.762429e-01, 7.120000e-02, 2.673429e-01, 2.211000e-01
42,43,1991-02-19,1,3,0,0,21,0,25,1991,2,19,26.1,20.0,23.0,6.1,13.7,15,1991,2,19,296.71,293.32,81.5,14.71,295.8,298.7,10.3,2.8999999999999773,297.25,8,8.0, 1.084333e-01, NaN, 1.194000e-01, 2.094000e-01
43,44,1991-02-26,0,0,0,1,17,0,18,1991,2,26,31.1,20.6,25.9,10.5,0.0,0,1991,2,26,298.58,294.2,76.77,15.56,297.6,300.3,0,2.6999999999999886,298.95000000000005,9,9.0, 1.375200e-01, 1.702000e-01, 1.914333e-01, 2.086000e-01
44,45,1991-03-05,1,1,0,1,18,0,21,1991,3,5,30.6,22.2,26.4,8.4,0.8,0,1991,3,5,296.57,293.68,83.82,15.07,296.1,297.1,2.9,1,296.6,10,10.0, 2.476857e-01, 2.107500e-01, 2.163571e-01, 2.641000e-01
45,46,1991-03-12,0,0,0,0,17,0,17,1991,3,12,27.8,23.9,25.8,3.9,0.0,0,1991,3,12,296.14,290.35,69.85,12.23,295.4,296.9,0,1.5,296.15,11,11.0, 2.132500e-01, NaN, 2.405429e-01, NaN
46,47,1991-03-19,0,0,0,0,17,0,17,1991,3,19,32.2,22.2,27.2,10.0,0.0,0,1991,3,19,297.59,294.42,82.8,15.79,296,300.4,1.3,4.399999999999977,298.2,12,12.0, 1.470143e-01, 1.279000e-01, 1.593000e-01, 1.784000e-01
47,48,1991-03-26,1,2,0,1,12,0,16,1991,3,26,28.9,21.7,25.3,7.2,0.0,12.92,1991,3,26,297.72,294.09,80.22,15.44,296.8,298.7,3.1,1.8999999999999773,297.75,13,13.0, 2.478833e-01, 2.803500e-01, 2.473857e-01, 2.235750e-01
48,49,1991-04-02,0,2,0,1,13,0,16,1991,4,2,28.9,21.7,25.3,7.2,3.6,0,1991,4,2,296.87,293.35,80.65,14.74,295.9,298.8,4.8,2.900000000000034,297.35,14,14.0, 2.605143e-01, 1.691000e-01, 2.219714e-01, 2.168250e-01
49,50,1991-04-09,0,0,0,1,14,0,15,1991,4,9,28.9,22.2,25.5,6.7,0.0,0,1991,4,9,297.53,292.26,72.43,13.76,296.7,298.6,0.1,1.900000000000034,297.65,15,15.0, 1.845333e-01, 1.765000e-01, 1.773667e-01, 2.763000e-01
50,51,1991-04-16,1,0,0,0,22,0,23,1991,4,16,28.3,21.7,25.0,6.6,0.0,17.38,1991,4,16,297.96,292.55,71.88,14.01,296.7,299.3,0.5,2.6000000000000227,298,16,16.0, 1.635500e-01, 7.740000e-02, 2.061667e-01, 1.024000e-01
51,52,1991-04-23,0,2,0,0,14,0,16,1991,4,23,31.7,24.4,28.0,7.3,0.0,0,1991,4,23,298.96,295.6,82,16.97,297.8,300.7,1,2.8999999999999773,299.25,17,17.0, 1.883143e-01, NaN, 2.249429e-01, 1.884500e-01
52,1,1991-04-30,0,1,0,0,16,0,17,1991,4,30,30.6,23.9,27.2,6.7,0.0,0,1991,4,30,299.08,295.12,79.15,16.5,297.5,300.9,0.4,3.3999999999999773,299.2,18,18.0, 1.761714e-01, 2.091667e-01, 1.761714e-01, 1.605750e-01
53,2,1991-05-07,0,0,0,0,12,0,12,1991,5,7,30.6,23.9,27.2,6.7,0.0,0,1991,5,7,298.79,294.05,75.2,15.42,297.8,299.5,2.3,1.6999999999999886,298.65,19,19.0, 1.063857e-01, 1.159500e-01, 1.111857e-01, 1.801750e-01
54,3,1991-05-14,1,2,0,0,14,0,17,1991,5,14,30.6,23.9,27.2,6.7,0.3,2.42,1991,5,14,298.81,296.05,84.82,17.45,298.1,299.4,8.7,1.2999999999999545,298.75,20,20.0, 1.511500e-01, NaN, 9.640000e-02, 1.045500e-01
55,4,1991-05-21,0,2,0,0,8,0,10,1991,5,21,33.3,23.3,28.3,10.0,1.5,0,1991,5,21,298.01,295.42,85.83,16.84,297.3,298.8,7.5,1.5,298.05,21,21.0, 9.711667e-02, 6.690000e-02, 1.356000e-01, 1.335667e-01
56,5,1991-05-28,0,1,0,0,14,0,15,1991,5,28,30.6,25.0,27.8,5.6,0.0,0,1991,5,28,299.38,294.4,74.15,15.76,298.4,300.8,0,2.400000000000034,299.6,22,22.0, 2.143167e-01, 1.401000e-01, 2.571000e-01, 1.594667e-01
57,6,1991-06-04,2,1,0,1,15,0,19,1991,6,4,31.1,24.4,27.8,6.7,1.8,4.69,1991,6,4,300.06,294.75,72.88,16.14,298.9,301.6,0.5,2.7000000000000455,300.25,23,23.0, 1.196000e-01, 8.585000e-02, 1.659286e-01, 8.700000e-02
58,7,1991-06-11,0,2,0,4,15,0,21,1991,6,11,32.8,25.0,28.9,7.8,3.3,0,1991,6,11,299.06,296.38,85.25,17.8,298.4,300.4,5.7,2,299.4,24,24.0, 1.734286e-01, 1.091000e-01, 1.739714e-01, 1.564667e-01
59,8,1991-06-18,0,2,0,2,10,0,14,1991,6,18,31.7,23.9,27.8,7.8,2.0,3.04,1991,6,18,299.12,295.88,82.3,17.21,298,299.7,6.8,1.6999999999999886,298.85,25,25.0, 1.301286e-01, 5.960000e-02, 1.306429e-01, 9.235000e-02
60,9,1991-06-25,4,0,0,1,13,0,18,1991,6,25,31.7,26.1,28.9,5.6,0.0,2.13,1991,6,25,301.03,296.9,78.57,18.39,300.2,302.4,0,2.1999999999999886,301.29999999999995,26,26.0, 1.851143e-01, 7.965000e-02, 1.582429e-01, 1.220000e-01
