,iquitos_persiann, 3.875S, 73.375W, precipitation_amount
0,Year, Month, Day, mm
1,1983,1,1,10.04
2,1983,1,2,6.28
3,1983,1,3,0.94
4,1983,1,4,14.71
5,1983,1,5,41.97
6,1983,1,6,-9999
7,1983,1,7,0.8
8,1983,1,8,7.79
9,1983,1,9,34.6
10,1983,1,10,0
11,1983,1,11,0
12,1983,1,12,34.23
13,1983,1,13,4.55
14,1983,1,14,0.62
15,1983,1,15,7.42
16,1983,1,16,29.01
17,1983,1,17,25.18
18,1983,1,18,1.48
19,1983,1,19,0
20,1983,1,20,8.43
21,1983,1,21,7.04
22,1983,1,22,0
23,1983,1,23,14.2
24,1983,1,24,0
25,1983,1,25,13.29
26,1983,1,26,7.82
27,1983,1,27,5.59
28,1983,1,28,10.33
29,1983,1,29,2.38
30,1983,1,30,1.13
31,1983,1,31,0
32,1983,2,1,0
33,1983,2,2,31.96
34,1983,2,3,0
35,1983,2,4,2.7
36,1983,2,5,30.99
37,1983,2,6,5.49
38,1983,2,7,0
39,1983,2,8,4.7
40,1983,2,9,0
41,1983,2,10,0
42,1983,2,11,0
43,1983,2,12,0
44,1983,2,13,15.6
45,1983,2,14,7.21
46,1983,2,15,0
47,1983,2,16,0
48,1983,2,17,10.06
49,1983,2,18,25.57
50,1983,2,19,1.1
51,1983,2,20,2.26
52,1983,2,21,6.9
53,1983,2,22,28.75
54,1983,2,23,5.16
55,1983,2,24,7.85
56,1983,2,25,2.12
57,1983,2,26,5.69
58,1983,2,27,17.5
59,1983,2,28,0
60,1983,3,1,2.24
61,1983,3,2,0.73
62,1983,3,3,14.04
63,1983,3,4,18.75
64,1983,3,5,30.46
65,1983,3,6,18.48
66,1983,3,7,18.26
67,1983,3,8,13.9
68,1983,3,9,14.45
69,1983,3,10,15.88
70,1983,3,11,23.79
71,1983,3,12,2.39
72,1983,3,13,1.85
73,1983,3,14,4.4
74,1983,3,15,12.66
75,1983,3,16,0
76,1983,3,17,0
77,1983,3,18,0
78,1983,3,19,44.44
79,1983,3,20,7.09
80,1983,3,21,0.31
81,1983,3,22,0
82,1983,3,23,15.03
83,1983,3,24,0
84,1983,3,25,0.65
85,1983,3,26,0.37
86,1983,3,27,0
87,1983,3,28,4.97
88,1983,3,29,20.38
89,1983,3,30,12.62
90,1983,3,31,16.73
91,1983,4,1,1.35
92,1983,4,2,9.82
93,1983,4,3,7.69
94,1983,4,4,4.11
95,1983,4,5,1.65
96,1983,4,6,27.61
97,1983,4,7,10.63
98,1983,4,8,41.12
99,1983,4,9,54.45
100,1983,4,10,5.88
101,1983,4,11,8.91
102,1983,4,12,0
103,1983,4,13,0.71
104,1983,4,14,47.21
105,1983,4,15,5.09
106,1983,4,16,5.03
107,1983,4,17,32.63
108,1983,4,18,9.12
109,1983,4,19,0
110,1983,4,20,4.43
111,1983,4,21,20.18
112,1983,4,22,11.92
113,1983,4,23,1.09
114,1983,4,24,2.74
115,1983,4,25,0
116,1983,4,26,6.92
117,1983,4,27,47.9
118,1983,4,28,1.9
119,1983,4,29,0
120,1983,4,30,33.54
121,1983,5,1,2.17
122,1983,5,2,7.88
123,1983,5,3,14.08
124,1983,5,4,0
125,1983,5,5,5.74
126,1983,5,6,39.91
127,1983,5,7,4.76
128,1983,5,8,0
129,1983,5,9,0
130,1983,5,10,24.74
131,1983,5,11,0
132,1983,5,12,4.51
133,1983,5,13,0
134,1983,5,14,1.13
135,1983,5,15,10.18
136,1983,5,16,1.77
137,1983,5,17,1.81
138,1983,5,18,6.73
139,1983,5,19,25.52
140,1983,5,20,0
141,1983,5,21,3.38
142,1983,5,22,0
143,1983,5,23,0
144,1983,5,24,26.73
145,1983,5,25,4.29
146,1983,5,26,0
147,1983,5,27,2.98
148,1983,5,28,0
149,1983,5,29,2.97
150,1983,5,30,8
151,1983,5,31,0
152,1983,6,1,88.49
153,1983,6,2,6.29
154,1983,6,3,0
155,1983,6,4,10.47
156,1983,6,5,6.95
157,1983,6,6,0
158,1983,6,7,1.3
159,1983,6,8,6.18
160,1983,6,9,0
161,1983,6,10,6.19
162,1983,6,11,1.61
163,1983,6,12,3.73
164,1983,6,13,14.57
165,1983,6,14,14.32
166,1983,6,15,15.04
167,1983,6,16,0
168,1983,6,17,0
169,1983,6,18,0
170,1983,6,19,0
171,1983,6,20,0
172,1983,6,21,0
173,1983,6,22,15.44
174,1983,6,23,12.33
175,1983,6,24,3.39
176,1983,6,25,0
177,1983,6,26,18.84
178,1983,6,27,0
179,1983,6,28,0
180,1983,6,29,3.73
181,1983,6,30,0
182,1983,7,1,2.88
183,1983,7,2,0
