,san_juan_persiann, 18.375N, 66.125W, precipitation_amount
0,Year, Month, Day, mm
1,1983,1,1,0
2,1983,1,2,0
3,1983,1,3,0
4,1983,1,4,0
5,1983,1,5,0
6,1983,1,6,-9999
7,1983,1,7,0
8,1983,1,8,0
9,1983,1,9,0
10,1983,1,10,0
11,1983,1,11,0
12,1983,1,12,0
13,1983,1,13,0
14,1983,1,14,0
15,1983,1,15,0
16,1983,1,16,0
17,1983,1,17,0
18,1983,1,18,0
19,1983,1,19,0
20,1983,1,20,0
21,1983,1,21,0
22,1983,1,22,0
23,1983,1,23,0
24,1983,1,24,0
25,1983,1,25,0
26,1983,1,26,0
27,1983,1,27,8.47
28,1983,1,28,0
29,1983,1,29,0
30,1983,1,30,0
31,1983,1,31,0
32,1983,2,1,0
33,1983,2,2,0
34,1983,2,3,0
35,1983,2,4,0
36,1983,2,5,0
37,1983,2,6,0
38,1983,2,7,0
39,1983,2,8,0
40,1983,2,9,0
41,1983,2,10,0
42,1983,2,11,0
43,1983,2,12,0
44,1983,2,13,0
45,1983,2,14,0
46,1983,2,15,0
47,1983,2,16,0
48,1983,2,17,0
49,1983,2,18,0
50,1983,2,19,0
51,1983,2,20,4.84
52,1983,2,21,3.88
53,1983,2,22,0
54,1983,2,23,0
55,1983,2,24,3.22
56,1983,2,25,5.79
57,1983,2,26,4.14
58,1983,2,27,1.46
59,1983,2,28,0
60,1983,3,1,0
61,1983,3,2,0
62,1983,3,3,0
63,1983,3,4,0
64,1983,3,5,0
65,1983,3,6,0
66,1983,3,7,0
67,1983,3,8,0
68,1983,3,9,0
69,1983,3,10,0
70,1983,3,11,0
71,1983,3,12,0
72,1983,3,13,0
73,1983,3,14,0
74,1983,3,15,0
75,1983,3,16,6.47
76,1983,3,17,0
77,1983,3,18,0
78,1983,3,19,0
79,1983,3,20,0
80,1983,3,21,0
81,1983,3,22,0
82,1983,3,23,0
83,1983,3,24,0
84,1983,3,25,0
85,1983,3,26,0
86,1983,3,27,0
87,1983,3,28,0
88,1983,3,29,0
89,1983,3,30,0
90,1983,3,31,0
91,1983,4,1,2.5
92,1983,4,2,0
93,1983,4,3,0
94,1983,4,4,0
95,1983,4,5,0
96,1983,4,6,0
97,1983,4,7,0
98,1983,4,8,0
99,1983,4,9,0
100,1983,4,10,0
101,1983,4,11,0
102,1983,4,12,0
103,1983,4,13,0
104,1983,4,14,0
105,1983,4,15,0
106,1983,4,16,0
107,1983,4,17,0
108,1983,4,18,32.21
109,1983,4,19,0
110,1983,4,20,85.94
111,1983,4,21,45.14
112,1983,4,22,7.89
113,1983,4,23,0
114,1983,4,24,2.92
115,1983,4,25,0
116,1983,4,26,0
117,1983,4,27,0
118,1983,4,28,0
119,1983,4,29,18.67
120,1983,4,30,11.47
121,1983,5,1,3.12
122,1983,5,2,10.66
123,1983,5,3,17.92
124,1983,5,4,20.72
125,1983,5,5,10.37
126,1983,5,6,0
127,1983,5,7,0
128,1983,5,8,2.51
129,1983,5,9,0
130,1983,5,10,0
131,1983,5,11,2.21
132,1983,5,12,13.49
133,1983,5,13,5.68
134,1983,5,14,37.95
135,1983,5,15,21.39
136,1983,5,16,13.11
137,1983,5,17,0
138,1983,5,18,2.39
139,1983,5,19,1.7
140,1983,5,20,1.1
141,1983,5,21,1.36
142,1983,5,22,5.17
143,1983,5,23,6.28
144,1983,5,24,12.21
145,1983,5,25,1.93
146,1983,5,26,15.42
147,1983,5,27,1.25
