,YYYY,MM,DD,TMAX,TMIN,TAVG,TDTR,PRCP
0,1973,1,2,-9999.0,24.0,-9999.0,-9999.0,0.0
1,1973,1,3,-9999.0,23.0,-9999.0,-9999.0,14.0
2,1973,1,4,-9999.0,23.0,-9999.0,-9999.0,30.0
3,1973,1,5,31.0,23.0,27.0,8.0,10.9
4,1973,1,6,-9999.0,23.0,-9999.0,-9999.0,0.5
5,1973,1,7,-9999.0,23.0,-9999.0,-9999.0,43.9
6,1973,1,8,-9999.0,22.0,-9999.0,-9999.0,20.1
7,1973,1,9,28.0,23.0,25.5,5.0,0.0
8,1973,1,10,-9999.0,22.0,-9999.0,-9999.0,26.9
9,1973,1,11,-9999.0,-9999.0,-9999.0,-9999.0,0.0
10,1973,1,12,-9999.0,22.0,-9999.0,-9999.0,0.0
11,1973,1,13,-9999.0,23.0,-9999.0,-9999.0,2.0
12,1973,1,14,-9999.0,-9999.0,-9999.0,-9999.0,0.0
13,1973,1,15,-9999.0,23.0,-9999.0,-9999.0,13.0
14,1973,1,16,-9999.0,23.0,-9999.0,-9999.0,4.1
15,1973,1,17,-9999.0,23.0,-9999.0,-9999.0,0.0
16,1973,1,18,-9999.0,24.0,-9999.0,-9999.0,0.0
17,1973,1,19,-9999.0,23.0,-9999.0,-9999.0,-9999.0
18,1973,1,20,-9999.0,-9999.0,-9999.0,-9999.0,0.0
19,1973,1,21,33.0,22.0,27.5,11.0,18.0
20,1973,1,22,-9999.0,24.0,-9999.0,-9999.0,2.0
21,1973,1,23,-9999.0,23.0,-9999.0,-9999.0,1.0
22,1973,1,24,-9999.0,20.0,-9999.0,-9999.0,0.0
23,1973,1,25,30.0,22.0,26.0,8.0,6.1
24,1973,1,26,29.0,24.0,26.5,5.0,25.9
25,1973,1,27,-9999.0,23.0,-9999.0,-9999.0,0.0
26,1973,1,28,-9999.0,-9999.0,-9999.0,-9999.0,22.1
27,1973,1,29,-9999.0,-9999.0,-9999.0,-9999.0,7.9
28,1973,1,30,-9999.0,24.0,-9999.0,-9999.0,0.0
29,1973,1,31,-9999.0,23.0,-9999.0,-9999.0,135.9
30,1973,2,1,-9999.0,-9999.0,-9999.0,-9999.0,1.0
31,1973,2,2,-9999.0,22.0,-9999.0,-9999.0,36.1
32,1973,2,3,-9999.0,23.0,-9999.0,-9999.0,2.0
33,1973,2,4,34.0,22.0,28.0,12.0,39.9
34,1973,2,5,32.0,23.0,27.5,9.0,14.0
35,1973,2,6,32.0,23.0,27.5,9.0,1.0
36,1973,2,7,33.0,25.0,29.0,8.0,0.0
37,1973,2,8,32.0,24.0,28.0,8.0,0.0
38,1973,2,9,32.0,24.0,28.0,8.0,49.0
39,1973,2,10,-9999.0,22.0,-9999.0,-9999.0,0.0
40,1973,2,11,-9999.0,23.0,-9999.0,-9999.0,13.0
41,1973,2,12,-9999.0,23.0,-9999.0,-9999.0,0.0
42,1973,2,13,-9999.0,25.0,-9999.0,-9999.0,0.0
43,1973,2,14,-9999.0,25.0,-9999.0,-9999.0,0.0
44,1973,2,15,34.0,25.0,29.5,9.0,0.0
45,1973,2,16,-9999.0,23.0,-9999.0,-9999.0,0.0
46,1973,2,17,-9999.0,24.0,-9999.0,-9999.0,3.0
47,1973,2,18,-9999.0,24.0,-9999.0,-9999.0,0.0
48,1973,2,19,31.0,24.0,27.5,7.0,1.0
49,1973,2,20,-9999.0,24.0,-9999.0,-9999.0,2.0
50,1973,2,21,-9999.0,23.0,-9999.0,-9999.0,0.0
