,season,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,total_cases
0,2000/2001,1,2000-07-01,0,0,0,0,0,0
1,2000/2001,2,2000-07-08,0,0,0,0,0,0
2,2000/2001,3,2000-07-15,0,0,0,0,0,0
3,2000/2001,4,2000-07-22,0,0,0,0,0,0
4,2000/2001,5,2000-07-29,0,0,0,0,0,0
5,2000/2001,6,2000-08-05,0,0,0,0,0,0
6,2000/2001,7,2000-08-12,0,0,0,0,0,0
7,2000/2001,8,2000-08-19,0,0,0,0,0,0
8,2000/2001,9,2000-08-26,0,0,0,0,0,0
9,2000/2001,10,2000-09-02,0,0,0,0,0,0
10,2000/2001,11,2000-09-09,0,0,0,0,1,1
11,2000/2001,12,2000-09-16,0,0,0,0,0,0
12,2000/2001,13,2000-09-23,0,0,0,0,0,0
13,2000/2001,14,2000-09-30,0,0,0,0,0,0
14,2000/2001,15,2000-10-07,0,0,0,0,0,0
15,2000/2001,16,2000-10-14,0,0,0,0,1,1
16,2000/2001,17,2000-10-21,0,0,0,0,1,1
17,2000/2001,18,2000-10-28,0,0,0,0,0,0
18,2000/2001,19,2000-11-04,0,0,0,0,0,0
19,2000/2001,20,2000-11-11,0,0,0,0,0,0
20,2000/2001,21,2000-11-18,0,0,0,0,0,0
21,2000/2001,22,2000-11-25,0,0,0,0,0,0
22,2000/2001,23,2000-12-02,0,0,0,0,0,0
23,2000/2001,24,2000-12-09,0,0,0,0,0,0
24,2000/2001,25,2000-12-16,0,0,0,0,1,1
25,2000/2001,26,2000-12-23,0,0,0,0,0,0
26,2000/2001,27,2001-01-01,0,0,0,0,0,0
27,2000/2001,28,2001-01-08,0,0,0,0,0,0
28,2000/2001,29,2001-01-15,0,0,0,0,0,0
29,2000/2001,30,2001-01-22,0,0,0,0,0,0
30,2000/2001,31,2001-01-29,0,0,0,0,0,0
31,2000/2001,32,2001-02-05,0,0,0,0,0,0
32,2000/2001,33,2001-02-12,0,0,0,0,0,0
33,2000/2001,34,2001-02-19,0,0,0,0,0,0
34,2000/2001,35,2001-02-26,0,0,0,0,0,0
35,2000/2001,36,2001-03-05,0,0,0,0,0,0
36,2000/2001,37,2001-03-12,0,0,0,0,0,0
37,2000/2001,38,2001-03-19,0,0,0,0,0,0
38,2000/2001,39,2001-03-26,0,0,0,0,0,0
39,2000/2001,40,2001-04-02,0,0,0,0,0,0
40,2000/2001,41,2001-04-09,0,0,0,0,0,0
41,2000/2001,42,2001-04-16,0,0,0,0,1,1
42,2000/2001,43,2001-04-23,0,0,0,0,0,0
43,2000/2001,44,2001-04-30,0,0,0,0,0,0
44,2000/2001,45,2001-05-07,0,0,0,0,0,0
45,2000/2001,46,2001-05-14,0,0,0,0,0,0
46,2000/2001,47,2001-05-21,0,0,0,0,1,1
47,2000/2001,48,2001-05-28,1,0,0,0,0,1
48,2000/2001,49,2001-06-04,0,0,0,0,0,0
49,2000/2001,50,2001-06-11,0,0,0,0,0,0
50,2000/2001,51,2001-06-18,0,0,0,0,1,1
51,2000/2001,52,2001-06-25,0,0,0,0,0,0
52,2001/2002,1,2001-07-02,0,0,0,0,0,0
53,2001/2002,2,2001-07-09,0,0,0,0,0,0
54,2001/2002,3,2001-07-16,0,0,0,0,0,0
55,2001/2002,4,2001-07-23,0,0,0,0,0,0
56,2001/2002,5,2001-07-30,0,0,0,0,0,0
57,2001/2002,6,2001-08-06,0,0,0,0,0,0
58,2001/2002,7,2001-08-13,0,0,0,0,0,0
59,2001/2002,8,2001-08-20,0,0,0,0,0,0
60,2001/2002,9,2001-08-27,0,0,0,0,0,0
61,2001/2002,10,2001-09-03,0,0,0,0,0,0
62,2001/2002,11,2001-09-10,0,0,0,0,0,0
63,2001/2002,12,2001-09-17,0,0,0,0,0,0
64,2001/2002,13,2001-09-24,0,0,0,0,0,0
65,2001/2002,14,2001-10-01,0,0,0,0,0,0
66,2001/2002,15,2001-10-08,0,0,0,0,0,0
67,2001/2002,16,2001-10-15,0,0,0,0,0,0
68,2001/2002,17,2001-10-22,0,0,0,0,0,0
69,2001/2002,18,2001-10-29,0,0,0,0,0,0
70,2001/2002,19,2001-11-05,0,0,0,0,0,0
71,2001/2002,20,2001-11-12,0,0,0,0,0,0
72,2001/2002,21,2001-11-19,0,0,0,0,1,1
73,2001/2002,22,2001-11-26,0,0,0,0,1,1
74,2001/2002,23,2001-12-03,0,0,1,0,0,1
75,2001/2002,24,2001-12-10,1,0,0,0,1,2
76,2001/2002,25,2001-12-17,2,0,0,0,2,4
77,2001/2002,26,2001-12-24,0,0,0,0,1,1
78,2001/2002,27,2002-01-01,2,0,1,0,1,4
79,2001/2002,28,2002-01-08,5,0,3,0,3,11
80,2001/2002,29,2002-01-15,4,0,7,0,5,16
81,2001/2002,30,2002-01-22,7,1,5,0,10,23
82,2001/2002,31,2002-01-29,8,2,1,0,1,12
83,2001/2002,32,2002-02-05,3,1,1,0,9,14
84,2001/2002,33,2002-02-12,7,1,3,0,7,18
85,2001/2002,34,2002-02-19,3,0,2,0,3,8
86,2001/2002,35,2002-02-26,2,0,2,0,3,7
87,2001/2002,36,2002-03-05,3,0,6,0,1,10
88,2001/2002,37,2002-03-12,2,0,3,0,2,7
89,2001/2002,38,2002-03-19,2,1,5,0,2,10
90,2001/2002,39,2002-03-26,0,0,3,0,2,5
91,2001/2002,40,2002-04-02,1,0,8,0,2,11
92,2001/2002,41,2002-04-09,1,0,4,0,3,8
93,2001/2002,42,2002-04-16,1,0,12,0,5,18
94,2001/2002,43,2002-04-23,2,1,6,0,4,13
95,2001/2002,44,2002-04-30,0,0,7,0,2,9
96,2001/2002,45,2002-05-07,2,0,15,0,5,22
97,2001/2002,46,2002-05-14,1,1,4,0,4,10
98,2001/2002,47,2002-05-21,0,0,4,0,1,5
99,2001/2002,48,2002-05-28,0,1,7,0,5,13
100,2001/2002,49,2002-06-04,0,0,0,0,2,2
101,2001/2002,50,2002-06-11,0,0,6,0,5,11
102,2001/2002,51,2002-06-18,0,0,6,0,5,11
103,2001/2002,52,2002-06-25,0,0,1,0,2,3
104,2002/2003,1,2002-07-02,0,0,2,0,5,7
105,2002/2003,2,2002-07-09,1,0,3,0,3,7
106,2002/2003,3,2002-07-16,0,0,1,0,3,4
107,2002/2003,4,2002-07-23,0,0,2,0,3,5
108,2002/2003,5,2002-07-30,0,0,5,0,1,6
109,2002/2003,6,2002-08-06,0,0,4,0,3,7
110,2002/2003,7,2002-08-13,0,0,3,0,4,7
111,2002/2003,8,2002-08-20,0,0,1,0,3,4
112,2002/2003,9,2002-08-27,1,0,4,0,4,9
113,2002/2003,10,2002-09-03,1,0,12,0,4,17
114,2002/2003,11,2002-09-10,0,0,5,0,3,8
115,2002/2003,12,2002-09-17,0,0,21,0,1,22
116,2002/2003,13,2002-09-24,0,0,16,0,2,18
117,2002/2003,14,2002-10-01,0,0,16,0,5,21
118,2002/2003,15,2002-10-08,0,0,13,0,3,16
119,2002/2003,16,2002-10-15,0,0,19,0,12,31
120,2002/2003,17,2002-10-22,0,0,16,0,9,25
121,2002/2003,18,2002-10-29,0,0,21,0,7,28
122,2002/2003,19,2002-11-05,0,0,18,0,8,26
123,2002/2003,20,2002-11-12,0,0,6,0,12,18
124,2002/2003,21,2002-11-19,0,0,11,0,16,27
125,2002/2003,22,2002-11-26,0,0,8,0,3,11
126,2002/2003,23,2002-12-03,0,0,22,0,16,38
127,2002/2003,24,2002-12-10,0,0,21,0,8,29
128,2002/2003,25,2002-12-17,0,0,18,0,3,21
129,2002/2003,26,2002-12-24,0,0,9,0,2,11
130,2002/2003,27,2003-01-01,0,0,8,0,2,10
131,2002/2003,28,2003-01-08,0,0,3,0,2,5
132,2002/2003,29,2003-01-15,0,0,5,0,1,6
133,2002/2003,30,2003-01-22,0,0,1,0,1,2
134,2002/2003,31,2003-01-29,0,0,0,0,1,1
135,2002/2003,32,2003-02-05,0,0,1,0,1,2
136,2002/2003,33,2003-02-12,0,0,1,0,1,2
137,2002/2003,34,2003-02-19,0,0,2,0,1,3
138,2002/2003,35,2003-02-26,0,0,3,0,2,5
139,2002/2003,36,2003-03-05,0,0,0,0,1,1
140,2002/2003,37,2003-03-12,0,0,1,0,3,4
141,2002/2003,38,2003-03-19,0,0,0,0,2,2
142,2002/2003,39,2003-03-26,0,0,1,0,3,4
143,2002/2003,40,2003-04-02,0,0,0,0,0,0
144,2002/2003,41,2003-04-09,0,0,0,0,0,0
145,2002/2003,42,2003-04-16,0,0,0,0,0,0
