,YYYY,MM,DD,TMAX,TMIN,TAVG,TDTR,PRCP
0,1956,1,1,26.7,20.6,23.7,6.1,1.3
1,1956,1,2,25.6,21.1,23.4,4.5,20.8
2,1956,1,3,26.7,21.7,24.2,5.0,1.8
3,1956,1,4,26.7,19.4,23.0,7.3,0.0
4,1956,1,5,27.8,17.2,22.5,10.6,0.0
5,1956,1,6,26.1,21.1,23.6,5.0,0.3
6,1956,1,7,25.0,22.2,23.6,2.8,0.0
7,1956,1,8,26.7,17.8,22.2,8.9,0.0
8,1956,1,9,28.3,18.9,23.6,9.4,0.0
9,1956,1,10,28.3,18.3,23.3,10.0,0.0
10,1956,1,11,29.4,19.4,24.4,10.0,0.0
11,1956,1,12,28.3,20.0,24.1,8.3,0.0
12,1956,1,13,29.4,19.4,24.4,10.0,0.0
13,1956,1,14,26.1,18.9,22.5,7.2,0.0
14,1956,1,15,26.7,17.8,22.2,8.9,13.7
15,1956,1,16,27.2,17.2,22.2,10.0,0.0
16,1956,1,17,28.9,18.3,23.6,10.6,0.0
17,1956,1,18,28.3,18.9,23.6,9.4,0.0
18,1956,1,19,27.8,22.2,25.0,5.6,0.3
19,1956,1,20,27.2,19.4,23.3,7.8,0.0
20,1956,1,21,26.7,16.7,21.7,10.0,0.0
21,1956,1,22,27.8,19.4,23.6,8.4,0.0
22,1956,1,23,27.2,20.6,23.9,6.6,0.0
23,1956,1,24,28.3,17.2,22.8,11.1,0.0
24,1956,1,25,27.8,17.2,22.5,10.6,0.0
25,1956,1,26,28.3,17.2,22.8,11.1,0.0
26,1956,1,27,28.3,18.3,23.3,10.0,2.3
27,1956,1,28,28.3,18.3,23.3,10.0,1.5
28,1956,1,29,26.7,18.9,22.8,7.8,30.7
29,1956,1,30,26.1,21.1,23.6,5.0,5.1
30,1956,1,31,24.4,20.0,22.2,4.4,10.7
31,1956,2,1,24.4,20.6,22.5,3.8,49.3
32,1956,2,2,25.0,20.6,22.8,4.4,16.8
33,1956,2,3,26.1,20.0,23.0,6.1,40.9
34,1956,2,4,26.7,20.0,23.4,6.7,33.5
35,1956,2,5,28.3,22.2,25.2,6.1,0.0
36,1956,2,6,27.8,20.6,24.2,7.2,0.0
37,1956,2,7,27.2,21.7,24.5,5.5,1.0
38,1956,2,8,27.2,21.7,24.5,5.5,0.0
39,1956,2,9,26.7,20.6,23.7,6.1,2.3
40,1956,2,10,27.2,20.0,23.6,7.2,0.0
41,1956,2,11,27.2,18.3,22.8,8.9,0.0
42,1956,2,12,27.8,17.8,22.8,10.0,0.0
43,1956,2,13,26.7,20.0,23.4,6.7,2.3
44,1956,2,14,26.7,19.4,23.0,7.3,0.0
45,1956,2,15,26.7,22.8,24.8,3.9,0.0
46,1956,2,16,27.2,19.4,23.3,7.8,1.3
47,1956,2,17,27.2,20.6,23.9,6.6,0.0
48,1956,2,18,27.2,20.6,23.9,6.6,0.8
49,1956,2,19,26.1,20.0,23.0,6.1,2.3
50,1956,2,20,26.7,19.4,23.0,7.3,0.0
51,1956,2,21,28.3,18.9,23.6,9.4,0.3
52,1956,2,22,28.9,16.7,22.8,12.2,0.0
53,1956,2,23,27.8,17.8,22.8,10.0,1.5
54,1956,2,24,27.8,19.4,23.6,8.4,10.9
55,1956,2,25,26.7,22.8,24.8,3.9,0.0
56,1956,2,26,27.2,16.7,22.0,10.5,0.0
57,1956,2,27,27.2,21.7,24.5,5.5,0.5
58,1956,2,28,28.9,18.3,23.6,10.6,0.0
59,1956,2,29,27.8,17.2,22.5,10.6,0.0
60,1956,3,1,27.8,17.2,22.5,10.6,0.0
61,1956,3,2,26.7,21.7,24.2,5.0,2.5
62,1956,3,3,27.8,19.4,23.6,8.4,0.0
63,1956,3,4,29.4,18.3,23.8,11.1,0.0
64,1956,3,5,28.3,21.1,24.7,7.2,0.8
65,1956,3,6,27.8,20.6,24.2,7.2,1.5
66,1956,3,7,27.2,21.1,24.2,6.1,5.1
67,1956,3,8,27.8,20.0,23.9,7.8,0.0
68,1956,3,9,28.3,20.6,24.5,7.7,0.0
69,1956,3,10,27.2,21.1,24.2,6.1,19.8
70,1956,3,11,27.2,23.3,25.2,3.9,0.0
71,1956,3,12,27.2,21.1,24.2,6.1,0.3
72,1956,3,13,27.8,20.6,24.2,7.2,7.6
73,1956,3,14,27.8,21.7,24.8,6.1,2.0
74,1956,3,15,27.8,20.6,24.2,7.2,4.6
75,1956,3,16,27.2,21.1,24.2,6.1,13.0
76,1956,3,17,28.3,17.8,23.0,10.5,0.8
77,1956,3,18,27.8,17.2,22.5,10.6,0.0
78,1956,3,19,28.9,17.2,23.0,11.7,0.0
79,1956,3,20,28.3,18.9,23.6,9.4,0.0
80,1956,3,21,29.4,18.9,24.1,10.5,1.3
81,1956,3,22,27.8,18.3,23.0,9.5,0.0
82,1956,3,23,28.3,21.7,25.0,6.6,0.3
83,1956,3,24,28.9,20.6,24.8,8.3,0.0
84,1956,3,25,31.1,22.2,26.7,8.9,44.5
85,1956,3,26,28.3,21.1,24.7,7.2,10.7
86,1956,3,27,28.3,22.8,25.5,5.5,7.1
87,1956,3,28,28.3,21.1,24.7,7.2,0.0
88,1956,3,29,27.8,21.7,24.8,6.1,1.0
89,1956,3,30,30.6,19.4,25.0,11.2,0.0
90,1956,3,31,30.6,20.6,25.6,10.0,0.0
91,1956,4,1,28.3,21.1,24.7,7.2,0.8
92,1956,4,2,28.9,20.6,24.8,8.3,0.3
93,1956,4,3,26.7,22.2,24.5,4.5,2.0
94,1956,4,4,27.8,21.1,24.5,6.7,4.1
95,1956,4,5,27.2,22.8,25.0,4.4,0.0
96,1956,4,6,28.3,21.7,25.0,6.6,0.0
97,1956,4,7,28.9,20.6,24.8,8.3,0.0
98,1956,4,8,29.4,18.3,23.8,11.1,0.0
99,1956,4,9,32.8,18.3,25.5,14.5,0.0
100,1956,4,10,29.4,19.4,24.4,10.0,0.0
101,1956,4,11,32.2,20.6,26.4,11.6,0.0
102,1956,4,12,33.9,21.7,27.8,12.2,0.0
103,1956,4,13,27.8,21.1,24.5,6.7,18.3
104,1956,4,14,27.8,20.6,24.2,7.2,0.0
105,1956,4,15,26.7,21.7,24.2,5.0,0.0
106,1956,4,16,28.3,20.6,24.5,7.7,0.0
107,1956,4,17,26.7,21.1,23.9,5.6,6.1
108,1956,4,18,28.3,20.0,24.1,8.3,7.4
109,1956,4,19,28.3,21.7,25.0,6.6,5.3
110,1956,4,20,29.4,20.6,25.0,8.8,0.3
111,1956,4,21,29.4,21.1,25.2,8.3,17.0
112,1956,4,22,28.9,20.6,24.8,8.3,0.0
113,1956,4,23,28.9,22.2,25.5,6.7,1.8
114,1956,4,24,28.9,23.3,26.1,5.6,0.0
115,1956,4,25,28.9,22.8,25.8,6.1,1.0
116,1956,4,26,28.9,22.2,25.5,6.7,0.3
117,1956,4,27,29.4,21.7,25.5,7.7,5.8
118,1956,4,28,28.9,24.4,26.6,4.5,0.0
119,1956,4,29,27.8,21.1,24.5,6.7,37.3
120,1956,4,30,28.3,21.7,25.0,6.6,7.6
121,1956,5,1,29.4,21.7,25.5,7.7,2.3
122,1956,5,2,29.4,21.7,25.5,7.7,1.8
123,1956,5,3,27.8,21.7,24.8,6.1,0.3
124,1956,5,4,30.0,21.7,25.9,8.3,6.9
125,1956,5,5,29.4,21.7,25.5,7.7,8.9
126,1956,5,6,29.4,22.8,26.1,6.6,1.0
127,1956,5,7,29.4,22.8,26.1,6.6,3.6
128,1956,5,8,28.3,21.1,24.7,7.2,9.9
129,1956,5,9,30.6,22.2,26.4,8.4,12.2
130,1956,5,10,29.4,22.8,26.1,6.6,34.3
131,1956,5,11,29.4,22.2,25.8,7.2,0.0
132,1956,5,12,28.9,22.2,25.5,6.7,0.0
133,1956,5,13,29.4,21.1,25.2,8.3,0.8
134,1956,5,14,28.3,21.1,24.7,7.2,2.3
135,1956,5,15,29.4,22.2,25.8,7.2,6.1
136,1956,5,16,29.4,21.1,25.2,8.3,33.8
137,1956,5,17,29.4,22.2,25.8,7.2,7.6
138,1956,5,18,29.4,22.2,25.8,7.2,0.0
139,1956,5,19,29.4,23.3,26.3,6.1,0.0
140,1956,5,20,30.0,21.1,25.5,8.9,0.0
141,1956,5,21,32.2,22.2,27.2,10.0,0.0
142,1956,5,22,32.2,22.2,27.2,10.0,0.0
143,1956,5,23,32.2,23.3,27.8,8.9,0.0
144,1956,5,24,32.2,22.8,27.5,9.4,0.0
145,1956,5,25,31.1,21.7,26.4,9.4,0.0
146,1956,5,26,29.4,21.7,25.5,7.7,12.7
147,1956,5,27,29.4,21.7,25.5,7.7,13.2
148,1956,5,28,28.9,21.7,25.3,7.2,70.9
149,1956,5,29,29.4,20.6,25.0,8.8,0.5
150,1956,5,30,28.9,21.7,25.3,7.2,15.0
151,1956,5,31,30.0,22.8,26.4,7.2,1.5
152,1956,6,1,27.8,22.8,25.3,5.0,14.0
153,1956,6,2,30.0,22.2,26.1,7.8,2.0
154,1956,6,3,29.4,21.7,25.5,7.7,18.0
155,1956,6,4,30.0,22.2,26.1,7.8,4.8
156,1956,6,5,29.4,22.2,25.8,7.2,18.5
157,1956,6,6,31.7,21.1,26.4,10.6,0.0
158,1956,6,7,32.2,23.9,28.0,8.3,0.0
159,1956,6,8,31.7,23.3,27.5,8.4,0.0
160,1956,6,9,32.2,23.9,28.0,8.3,0.0
161,1956,6,10,30.0,23.3,26.6,6.7,0.0
162,1956,6,11,30.0,23.3,26.6,6.7,1.8
163,1956,6,12,30.0,21.7,25.9,8.3,0.0
164,1956,6,13,29.4,21.7,25.5,7.7,6.4
165,1956,6,14,30.0,22.2,26.1,7.8,7.1
166,1956,6,15,26.7,21.1,23.9,5.6,45.7
167,1956,6,16,29.4,21.1,25.2,8.3,25.7
168,1956,6,17,26.7,22.2,24.5,4.5,45.0
169,1956,6,18,31.1,21.7,26.4,9.4,0.8
170,1956,6,19,31.7,22.8,27.2,8.9,14.7
171,1956,6,20,30.0,20.6,25.3,9.4,0.0
172,1956,6,21,30.0,21.1,25.5,8.9,0.8
173,1956,6,22,30.0,21.7,25.9,8.3,8.6
174,1956,6,23,31.1,23.3,27.2,7.8,2.8
175,1956,6,24,31.1,22.8,27.0,8.3,0.0
176,1956,6,25,30.0,21.7,25.9,8.3,0.0
177,1956,6,26,29.4,22.2,25.8,7.2,4.8
178,1956,6,27,30.0,23.3,26.6,6.7,0.3
179,1956,6,28,28.3,22.2,25.2,6.1,12.7
180,1956,6,29,30.0,22.2,26.1,7.8,1.8
181,1956,6,30,30.0,22.8,26.4,7.2,0.0
182,1956,7,1,30.6,24.4,27.5,6.2,0.0
183,1956,7,2,30.0,22.2,26.1,7.8,0.0
184,1956,7,3,30.6,21.7,26.2,8.9,0.0
185,1956,7,4,30.6,23.3,27.0,7.3,0.0
186,1956,7,5,30.0,26.1,28.0,3.9,0.3
187,1956,7,6,29.4,24.4,26.9,5.0,8.4
188,1956,7,7,30.6,24.4,27.5,6.2,0.0
189,1956,7,8,30.6,22.8,26.7,7.8,0.3
190,1956,7,9,31.1,22.8,27.0,8.3,0.5
191,1956,7,10,30.6,25.0,27.8,5.6,0.0
192,1956,7,11,30.6,24.4,27.5,6.2,0.0
193,1956,7,12,30.6,24.4,27.5,6.2,0.3
194,1956,7,13,30.6,23.9,27.2,6.7,40.6
195,1956,7,14,30.6,23.3,27.0,7.3,1.5
196,1956,7,15,31.1,23.9,27.5,7.2,0.0
197,1956,7,16,30.0,22.8,26.4,7.2,0.0
198,1956,7,17,30.0,22.2,26.1,7.8,3.3
199,1956,7,18,30.0,21.1,25.5,8.9,0.0
200,1956,7,19,30.0,21.1,25.5,8.9,0.5
201,1956,7,20,30.6,23.3,27.0,7.3,1.8
202,1956,7,21,30.0,21.7,25.9,8.3,11.7
